fwe.lower,aqem.code,gen,sp,streamzone_euc,streamzone_hyc,streamzone_erh,streamzone_mrh,streamzone_hrh,streamzone_epo,streamzone_mpo,streamzone_hpo,streamzone_lit,streamzone_pro,tachlong_cr,tachlong_er,tachlong_mr,tachlong_hr,tachlong_ep,tachlong_mp,tachlong_est,tachlong_out,tachtrans_rich,tachtrans_bcsa,tachtrans_ppdsa,tachtrans_mapb,tachtrans_tmpw,tachtrans_lake,tachtrans_gw,tachalt_low,tachalt_pie,tachalt_alt,tachsub_fbcp,tachsub_grvl,tachsub_sand,tachsub_silt,tachsub_macp,tachsub_micp,tachsub_twro,tachsub_odli,tachsub_mud,currpref_lib,currpref_lip,currpref_lrp,currpref_rlp,currpref_rhp,currpref_rhb,currpref_ind,tachcurr_null,tachcurr_slow,tachcurr_medium,tachcurr_fast,tachtemp_psy,tachtemp_the,tachtemp_eut,tachph_less4,tachph_4to4.5,tachph_4.5to5,tachph_5to5.5,tachph_5.5to6,tachph_gre6,tachsal_frw,tachsal_brw,tachsap_x,tachsap_o,tachsap_b,tachsap_a,tachsap_p,tachtroph_oli,tachtroph_meso,tachtroph_eu,feedingtype_gra,feedingtype_min,feedingtype_xyl,feedingtype_shr,feedingtype_gat,feedingtype_aff,feedingtype_pff,feedingtype_pre,feedingtype_par,feedingtype_oth,tachfood_mior,tachfood_detl1,tachfood_dpg1,tachfood_limi,tachfood_lima,tachfood_dag1,tachfood_lmic,tachfood_lmac,tachfood_vert,tachfeed_abs,tachfeed_dpf,tachfeed_shr,tachfeed_scr,tachfeed_fif,tachfeed_pie,tachfeed_pre,tachfeed_par,locotype_sws,locotype_swd,locotype_bub,locotype_spw,locotype_ses,locotype_oth,tachloco_flr,tachloco_ssw,tachloco_wsw,tachloco_crw,tachloco_bur,tachloco_int,tachloco_tat,tachloco_pat,tachrespir_teg,tachrespir_gil,tachrespir_pls,tachrespir_spi,tachrespir_ves,tachsize_less0.25,tachsize_0.25to0.5,tachsize_0.5to1,tachsize_1to2,tachsize_2to4,tachsize_4to8,tachsize_gre8,tachresis_egg,tachresis_coc,tachresis_hou,tachresis_did,tachresis_non,tachdisp_aquapass,tachdisp_aquaact,tachdisp_aerpass,tachdisp_aeract,tachaqua_egg,tachaqua_larva,tachaqua_nymph,tachaqua_adult,tachlong_less1,tachlong_gre1,tachcycle_less1,tachcycle_one,tachcycle_gre1,tachrepro_ovo,tachrepro_fie,tachrepro_cie,tachrepro_fic,tachrepro_frc,tachrepro_vec,tachrepro_tec,tachrepro_ase
Hemiclepsis marginata,5444,Hemiclepsis,marginata,0,0,0,0,2,3,2,1,2,0,0,0,1,1,2,2,0,2,0,2,2,0,0,2,0,3,0,0,2,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,3,1,0,0,NA,NA,NA,0,0,1,1,2,2,3,1,0,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,5,5,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,1,0,0,3,3,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0
Hesperocorixa linnaei,5462,Hesperocorixa,linnaei,0,0,0,0,0,0,0,0,10,0,0,1,1,1,1,1,0,5,0,1,3,3,1,2,0,3,0,0,0,0,0,0,3,0,0,3,2,0,1,0,0,0,0,0,2,2,0,0,NA,NA,NA,2,3,3,3,3,3,3,2,0,0,1,3,0,1,1,3,3,0,0,0,7,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,3,2,0,2,0,0,0,9,0,0,0,1,1,0,5,0,0,0,0,0,1,0,2,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,2,3,3,0,2,3,0,0,1,1,0,0,1,3,0,1,0,0
Hippeutis complanatus,5483,Hippeutis,complanatus,0,0,0,0,0,0,0,0,10,0,0,0,1,2,3,1,0,3,0,1,3,0,0,0,0,3,0,0,2,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,3,1,0,2,2,1,0,0,1,3,6,0,0,2,0,0,0,0,0,2,0,0,1,1,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,10,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,2,1,0,0,3,0,0,3,3,0,0,3,0,0,0,0,3,0,0,0,0
Hydatophylax infumatus,5499,Hydatophylax,infumatus,0,0,0,4,4,2,0,0,0,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,2,0,3,0,3,2,0,0,0,1,0,0,0,0,0,3,0,0,1.75,0,0,0,0,1,3,3,3,3,0,1,3,2,0,0,1.833333333,0.75,0.25,1,0,0,7,0,0,0,2,0,0,0,1,2,0,3,0,0,1,0,0,1,3,0,0,0,1,0,0,0.09375,0.21875,5.84375,3.75,0.09375,0,0,0,5,0,0,0,0,3,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,2,0,2,3,3,3,0,1,0,0,3,0,0,0,0,1,0,0,0,0
Leptocerus interruptus,5727,Leptocerus,interruptus,0,0,0,0,3,4,3,0,0,0,0,1,1,2,3,5,0,5,1,2,2,0,0,3,0,3,0,0,2,0,0,0,5,1,2,1,0,0,1,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,1,3,3,1,0,1,3,3,0,2,3,1,5,0,0,5,0,0,0,0,0,0,0,2,0,1,3,0,0,1,0,0,1,3,1,0,0,0,0,0,5,0,5,0,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,1,1,2,3,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0
Musculium lacustre,7966,Musculium,lacustre,0,1,0,0,0,2,2,0,5,0,1,0,0,0,2,2,0,1,0,3,1,0,0,0,0,3,0,0,2,0,4,2,2,1,0,0,4,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,2,3,3,3,1,0,1,2,3,0,1,3,1,0,0,0,0,0,10,0,0,0,0,0,3,0,5,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,4,3,0,0,0,0,1,4,0,2,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,1,1,0,3,3,0,3,1,3,0,3,3,3,0,0,0,0,0,0,0
Musculium transversum,16776,Musculium,transversum,0,1,0,0,0,2,2,0,5,0,1,0,0,0,2,2,0,1,0,3,1,0,0,0,0,3,0,0,2,0,4,2,2,1,0,0,4,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,2,3,3,3,1,0,1,2,3,0,1,3,1,0,0,0,0,0,10,0,0,0,0,0,3,0,5,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,4,3,0,0,0,0,1,4,0,2,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,1,1,0,3,3,0,3,1,3,0,3,3,3,0,0,0,0,0,0,0
Nepa cinerea,6118,Nepa,cinerea,0,0,0,0,0,0,0,0,10,0,1,1,1,1,0,0,0,3,0,2,3,0,3,2,0,3,0,0,2,0,0,0,3,0,0,3,3,0,0,1,0,0,0,0,3,2,0,0,NA,NA,NA,1,1,1,1,1,3,3,1,0,0,3,1,0,1,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,1,0,0,1,0,6,0,3,0,0,1,4,0,0,0,0,1,0,1,3,0,0,0,0,3,2,0,0,2,0,0,0,2,1,3,0,2,3,3,0,2,3,1,0,3,0,0,0,0,0,0,3,0,0
Neureclipsis bimaculata,6122,Neureclipsis,bimaculata,0,0,0,0,0,5,5,0,0,0,0,1,2,2,2,1,1,2,2,2,1,0,0,1,0,3,0,0,3,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,3,2,1,1,0,0,0,0,2,2,3,3,3,0,0,1,3,1,0,1,2,2,0,0,0,0,0,0,1,9,0,0,0,0,1,1,1,0,3,2,0,0,0,0,0,3,0,3,0,0,0.2,0,0.466666667,9.333333333,0,0,0,1,1,0,0,3,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,3,1,1,2,3,3,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0
Odontocerum albicorne,6168,Odontocerum,albicorne,0,2,7,1,0,0,0,0,0,0,1,3,4,4,2,1,0,0,3,0,0,0,0,1,0,2,2,1,2,1,3,4,2,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,0,1,2,2,3,3,0,0,3,1,0,0,3,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,1,3,0,3,2,0,0,0,3,0,0,0,3,0,0,0,0,8,2,0,0,0,0,3,2,0,0,0,2,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,3,1,1,2,3,3,3,0,3,2,2,3,0,0,0,0,0,0,0,3,0
Onychogomphus forcipatus ssp.,19378,Onychogomphus,forcipatus ssp.,0,0,0,1,2,6,0,0,1,0,0,1,1,1,2,0,0,3,0,2,0,0,0,2,0,3,1,0,2,2,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,2,0,1,0,0,0,0,2,3,2,2,3,0,0,2,3,1,0,2,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,5,0,5,0,0,0,0,0,2,3,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,1,0,3,3,3,0,0,0,3,3,1,0,0,1,3,0,0,0,0,0
Ophiogomphus cecilia,8175,Ophiogomphus,cecilia,0,0,0,1,3,6,0,0,0,0,0,4,1,0,0,0,0,0,3,3,0,0,0,0,0,3,1,0,0,0,4,3,0,0,3,0,1,0,0,0,0,0,1,0,0,2,2,1,1,0,0,0,0,2,3,2,2,3,0,0,2,3,1,0,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,7,0,3,0,0,0,0,0,2,4,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,3,3,3,0,0,0,3,3,1,0,0,1,2,0,0,0,0,0
Physa fontinalis,6395,Physa,fontinalis,0,0,0,0,0,0,1,0,9,0,0,1,2,3,3,3,1,5,0,2,5,1,1,0,0,3,0,0,3,1,0,1,5,1,0,1,2,0,0,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,3,3,3,0,1,3,2,0,1,2,2,6,0,0,2,0,0,0,0,0,2,0,0,3,5,1,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,10,0,0,0,2,0,4,0,0,0,0,3,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,2,1,0,0,3,0,0,3,3,1,0,3,0,0,0,0,3,0,0,0,0
Piscicola geometra,6408,Piscicola,geometra,0,0,0,0,2,2,2,1,3,0,0,0,1,2,2,3,0,2,4,4,1,0,0,2,0,3,0,0,3,1,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,3,3,2,NA,NA,NA,0,0,0,1,1,3,3,2,0,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,2,0,4,4,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0,2,3,0,0,3,0,0,0,3,2,0,0,3,3,0,2,3,0,0,3,0,0,0,3,2,0,0,0,0
Planorbis planorbis,6436,Planorbis,planorbis,0,0,0,0,0,2,2,2,4,0,1,1,1,3,3,1,0,4,1,3,3,2,1,1,0,3,1,0,3,1,1,1,5,1,0,2,3,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,3,3,2,0,1,3,1,0,0,3,2,6,0,0,2,0,0,0,0,0,2,0,0,3,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,10,0,0,0,2,0,4,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,2,1,0,0,3,0,0,3,3,0,0,3,1,0,0,0,3,0,0,0,0
Platycnemis pennipes,6438,Platycnemis,pennipes,0,0,0,0,0,2,4,0,4,0,0,1,1,2,3,3,0,2,0,3,2,0,0,2,0,3,0,0,0,0,0,1,2,0,2,1,5,0,0,1,0,0,0,0,2,3,1,0,NA,NA,NA,0,0,0,1,1,3,3,0,0,1,3,2,0,1,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,4,0,6,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,1,1,0,3,3,3,0,0,0,2,2,3,0,0,0,0,0,0,3,0,0
Potamanthus luteus,6510,Potamanthus,luteus,0,1,0,0,0,5,4,0,0,0,0,0,0,0,4,2,0,0,2,3,0,0,0,0,0,3,0,0,3,3,2,1,0,0,0,3,2,0,0,0,1,0,0,0,2,3,2,1,NA,NA,NA,0,0,0,0,0,3,3,0,0,0,3,2,0,0,2,2,0,0,0,0,9,1,0,0,0,0,0,3,3,2,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,3,5,0,2,0,0,1,4,1,2,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,1,1,3,3,3,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0
Potamopyrgus antipodarum,8251,Potamopyrgus,antipodarum,0,1,1,1,2,2,1,1,1,0,0,0,0,0,2,4,3,2,2,3,1,0,0,1,0,3,0,0,3,2,1,1,3,3,0,0,4,0,0,0,0,0,0,1,2,3,3,0,0,1,0,0,0,0,0,0,3,2,3,0,0,2,2,1,0,2,3,2,0,0,2,3,0,0,0,0,3,0,0,4,2,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,10,0,0,0,0,0,3,1,0,0,0,1,3,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,3,2,2,0,3,0,0,3,3,1,0,1,3,3,0,0,0,0,0,0,0
Procloeon bifidum,6574,Procloeon,bifidum,0,0,1,1,2,2,2,0,2,0,0,0,1,3,3,0,0,2,0,3,1,0,0,1,0,3,1,1,0,0,3,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,3,3,0,0,1,2,2,0,0,3,2,0,0,0,0,10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,4,0,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,2,1,2,3,3,0,0,3,0,0,1,3,0,0,3,0,0,0,0,0
Pyrrhosoma nymphula,6667,Pyrrhosoma,nymphula,0,0,0,1,1,1,1,0,6,0,0,1,1,1,0,1,0,3,0,2,2,2,1,2,0,3,1,0,0,0,0,0,2,0,2,1,3,0,0,1,0,0,0,0,3,2,1,0,NA,NA,NA,1,1,2,3,3,3,3,1,0,2,3,2,0,2,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,1,4,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,1,0,3,3,3,0,0,3,2,2,2,1,0,0,0,0,0,3,0,0
Theromyzon tessulatum,7034,Theromyzon,tessulatum,0,0,0,0,1,2,2,1,4,0,0,0,0,0,0,0,0,3,1,2,3,0,0,2,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,3,3,2,0,NA,NA,NA,0,0,0,0,1,3,3,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,1,3,0,3,3,0,2,0,3,0,3,0,2,0,0,0,1,0,0,0
Viviparus viviparus,7158,Viviparus,viviparus,0,0,0,0,1,0,2,4,3,0,0,0,1,1,2,3,0,3,3,5,1,1,0,2,0,3,0,0,4,3,0,0,2,0,0,0,3,0,0,0,1,0,0,0,2,3,1,0,NA,NA,NA,0,0,0,0,0,3,3,1,0,0,3,1,0,2,3,1,5,0,0,0,3,2,0,0,0,0,0,3,2,1,1,1,2,0,0,0,0,1,2,2,0,0,0,0,0,2,8,0,0,0,0,0,3,1,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,2,1,0,0,3,0,0,3,1,3,1,3,0,3,0,0,0,0,0,0,0
Dendrocoelum lacteum,4911,Dendrocoelum,lacteum,0,1,1,1,1,1,1,1,3,0,1,1,2,3,4,3,0,3,0,3,2,0,1,2,0,3,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,3,2,0,NA,NA,NA,1,1,1,3,3,3,3,1,0,0,2,1,0,0,2,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,3,0,0,3,3,0,3,3,1,0,3,0,0,0,0,3,0,0,0,0
Atrichops crassipes,4374,Atrichops,crassipes,0,0,0,2,3,3,2,0,0,0,1,1,1,1,1,1,0,1,0,2,2,0,0,2,0,1,1,1,0,1,4,2,0,0,0,0,2,0,0,0,0,0,1,0,1,3,0,0,NA,NA,NA,0,0,0,0,1,3,3,0,0,1,3,0,0,2,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,1,0,1,0,3,0,0,3,1,1,3,0,0,0,0,0,0,0,3,0
Corbicula fluminea,11176,Corbicula,fluminea,0,0,0,0,0,3,3,2,2,0,0,0,0,0,4,4,3,0,1,3,0,0,0,1,0,3,0,0,1,2,5,2,0,0,0,0,3,0,0,0,1,0,0,0,3,3,0,0,0,3,0,0,0,0,0,1,3,3,3,0,0,0,1,2,0,1,2,0,0,0,0,0,10,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,2,3,5,0,0,0,1,1,4,0,0,0,1,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0,3,3,1,0,0,3,3,0,3,0,3,0,2,2,3,1,0,0,0,0,0,0
Dolichopeza albipes,14281,Dolichopeza,albipes,0,0.142857143,0.857142857,0.714285714,0.714285714,0.142857143,0,0,7.428571429,0,1,2,1,1,1,1,1,3,0,4,3,2,3,2,0,2,2,0,2,2,1,1,4,0,2,4,2,0.235294118,0.764705882,0,0,0,0,0,3,2,1,0,1,0,0,2,2,2,3,3,2,3,2,2,3,3,1,0,3,2,1,0,0,0,5,5,0,0,0,0,0,0,2,4,2,2,0,1,2,0,0,2,3,0,0,0,2,0,0,0,10,0,0,0,0,0,0,1,4,0,0,0,2,1,0,3,0,0,0,0,0,3,2,0,0,2,0,0,2,0,1,0,1,2,2,2,0,2,3,1,3,1,0,3,0,0,0,0,1,0
Serratella ignita,5131,Serratella,ignita,0,1,1,2,2,2,1,0,1,0,1,4,5,5,4,1,0,2,3,4,0,0,1,1,0,3,2,0,3,2,1,1,5,0,4,2,1,0,0,0,1,0,0,0,0,3,3,1,0,1,0,0,1,1,3,3,3,3,0,1,2,3,1,0,2,3,0,5,0,0,0,5,0,0,0,0,0,0,1,3,4,3,0,1,0,0,0,1,2,2,0,0,1,0,0,2,0,8,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,2,0,0,1,1,2,3,1,3,3,3,0,0,3,0,0,3,1,0,1,3,0,0,1,0,0
Torleya major,7083,Torleya,major,0,1,2,3,2,2,0,0,0,0,0,1,3,5,3,1,0,0,3,0,0,0,0,0,0,3,0,0,4,1,1,0,1,0,1,4,1,0,0,0,1,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,3,3,0,0,3,0,0,0,2,1,0,5,0,0,0,5,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,2,1,1,2,3,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0
Anacaena lutescens,9546,Anacaena,lutescens Ad.,0,0,0,0,1,1,1,0,7,0,0,0,0,0,0,0,0,5,0,0,3,3,1,0,0,3,0,0,0,0,0,0,3,3,0,3,3,0,1,0,0,0,0,0,3,0,0,0,NA,NA,NA,1,1,2,2,3,3,3,1,0,0,1,2,0,2,2,3,3,0,0,2,3,0,0,2,0,0,0,0,0,3,0,0,3,1,0,0,0,3,0,0,0,1,0,0,1.441860465,2,5.395348837,0,1.162790698,1,0,3,3,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,3,3,3,0,2,1,3,0,3,1,0,0,0,3,0,0,0,0
Anacaena globulus,9544,Anacaena,globulus Ad.,2,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,3,1,0,0,3,0,0,0,0,0,0,3,3,0,3,3,0,0,0,1,0,0,0,3,0,0,0,NA,NA,NA,1,1,2,2,3,3,3,1,0,0,1,2,0,2,2,3,3,0,0,2,3,0,0,2,0,0,0,0,0,3,0,0,3,1,0,0,0,3,0,0,0,1,0,0,2,0,8,0,0,1,0,3,3,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,3,3,3,0,2,1,3,0,3,1,0,0,0,3,0,0,0,0
Brychius elevatus,12428,Brychius,elevatus Ad.,0,0,2,5,3,0,0,0,0,0,0,1,4,4,1,0,0,0,3,3,0,0,0,0,0,3,1,0,1,2,1,1,4,0,1,1,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,3,3,0,0,2,3,0,0,3,3,0,6,0,0,0,2,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3.217391304,0,5.52173913,0.217391304,1.043478261,1,0,3,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,3,0,2,1,3,0,1,3,0,0,0,3,0,0,0,0
Deronectes latus,11829,Deronectes,latus Ad.,0,0,1,4,2,0,0,0,3,0,0,1,4,4,1,0,0,1,0,1,2,1,1,1,0,3,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3,2,1,0,1.4,0,0,0,0,1,1,1,3,3,0,0,1,3,2,0,1,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,3,0,0,0,4,0,4,0,2,1,0,3,3,0,0,0,0,1,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,3,2,1,0,3,3,3,0,2,1,3,0,1,3,0,0,0,3,0,0,0,0
Elmis aenea/maugetii/rietscheli/rioloides,20169,Elmis,aenea/maugetii/rietscheli/rioloides Ad.,0,2,2,2,2,2,0,0,0,0,1,3,3,3,1,0,0,0,3,3,0,0,0,0,0,3,1,1,3,3,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,1,0,0,0,0,1,1,1,3,3,0,1,3,2,0,0,3,2,0,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,10,0,0,1,0,0,4,0,1,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,2,3,3,0,2,1,3,0,3,0,0,0,0,3,0,0,0,0
Elmis latreillei,12067,Elmis,latreillei Ad.,2,6,2,0,0,0,0,0,0,0,1,3,3,3,1,0,0,0,3,3,0,0,0,0,0,3,1,1,3,3,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,1,0,0,0,0,1,1,1,3,3,0,1,3,2,0,0,3,2,0,8,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,10,0,0,1,0,0,4,0,1,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,2,3,3,0,2,1,3,0,3,0,0,0,0,3,0,0,0,0
Elodes minuta-Gr.,14487,Elodes,minuta-Gr. Ad.,0,0,0,0,0,0,0,0,10,0,2,3,3,2,0,0,0,0,0,2,2,1,0,0,0,3,1,0,2,3,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,1,2,1,NA,NA,NA,1,1,2,2,2,3,3,0,NA,NA,NA,NA,NA,1,3,0,0,0,0,10,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1,0,3,3,3,0,0,1,3,0,3,0,0,0,0,0,0,0,3,0
Esolus parallelepipedus,12082,Esolus,parallelepipedus Ad.,0,0,2,4,3,1,0,0,0,0,1,3,3,3,1,0,0,0,3,3,0,0,0,0,0,3,1,0,1,3,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,1,0,0,0,0,1,1,1,3,3,0,1,3,3,0,0,3,2,0,8,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,5.5,3.5,0,1,0,0,4,0,1,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,2,3,3,0,2,1,3,0,3,0,0,0,0,3,0,0,0,0
Helophorus aquaticus,12491,Helophorus,aquaticus Ad.,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,5,0,1,2,2,2,1,0,3,1,1,0,0,0,0,1,3,0,3,3,0,1,0,0,0,0,0,3,1,0,0,NA,NA,NA,1,1,2,3,3,3,3,2,0,1,3,3,0,1,1,3,0,0,0,10,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,5,0,4,1,0,3,3,0,0,0,0,0,0,1,3,0,0,3,3,0,0,0,0,0,0,0,0,3,1,1,0,3,1,1,0,2,1,3,0,3,1,0,0,0,0,0,0,3,0
Helophorus brevipalpis,12468,Helophorus,brevipalpis Ad.,0,0,0,1,1,1,1,0,6,0,0,0,0,0,0,0,0,5,0,1,2,2,2,1,0,3,1,1,0,0,0,0,1,3,0,3,3,0,0,1,0,0,0,0,3,1,0,0,NA,NA,NA,1,1,2,3,3,3,3,2,0,1,3,3,0,1,1,3,0,0,0,10,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,10,0,0,1,0,3,3,0,0,0,0,0,0,1,3,0,0,3,3,0,0,0,0,0,0,0,0,3,1,1,0,3,1,1,0,2,1,3,0,3,1,0,0,0,0,0,0,3,0
Helophorus minutus,12503,Helophorus,minutus Ad.,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,1,2,2,2,1,0,3,1,1,0,0,0,0,1,3,0,3,3,0,1,0,0,0,0,0,3,1,0,0,NA,NA,NA,1,1,2,3,3,3,3,2,0,1,3,3,0,1,1,3,0,0,0,10,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,10,0,0,1,0,3,3,0,0,0,0,0,0,1,3,0,0,3,3,0,0,0,0,0,0,0,0,3,1,1,0,3,1,1,0,2,1,3,0,3,1,0,0,0,0,0,0,3,0
