code,Year,Month,Day,Hour,Temp
2011_4_13_4,2011,4,13,4,7.481
2011_4_13_5,2011,4,13,5,NA
2011_4_13_6,2011,4,13,6,7.481
2011_4_13_7,2011,4,13,7,NA
2011_4_13_8,2011,4,13,8,7.481
2011_4_13_9,2011,4,13,9,NA
2011_4_13_10,2011,4,13,10,7.983
2011_4_13_11,2011,4,13,11,NA
2011_4_13_12,2011,4,13,12,8.978
2011_4_13_13,2011,4,13,13,NA
2011_4_13_14,2011,4,13,14,9.768
2011_4_13_15,2011,4,13,15,NA
2011_4_13_16,2011,4,13,16,9.965
2011_4_13_17,2011,4,13,17,NA
2011_4_13_18,2011,4,13,18,9.571
2011_4_13_19,2011,4,13,19,NA
2011_4_13_20,2011,4,13,20,8.978
2011_4_13_21,2011,4,13,21,NA
2011_4_13_22,2011,4,13,22,8.382
2011_4_13_23,2011,4,13,23,NA
2011_4_14_0,2011,4,14,0,7.782
2011_4_14_1,2011,4,14,1,NA
2011_4_14_2,2011,4,14,2,7.28
2011_4_14_3,2011,4,14,3,NA
2011_4_14_4,2011,4,14,4,6.978
2011_4_14_5,2011,4,14,5,NA
2011_4_14_6,2011,4,14,6,6.674
2011_4_14_7,2011,4,14,7,NA
2011_4_14_8,2011,4,14,8,6.978
2011_4_14_9,2011,4,14,9,NA
2011_4_14_10,2011,4,14,10,8.382
2011_4_14_11,2011,4,14,11,NA
2011_4_14_12,2011,4,14,12,10.259
2011_4_14_13,2011,4,14,13,NA
2011_4_14_14,2011,4,14,14,11.236
2011_4_14_15,2011,4,14,15,NA
2011_4_14_16,2011,4,14,16,11.528
2011_4_14_17,2011,4,14,17,NA
2011_4_14_18,2011,4,14,18,10.553
2011_4_14_19,2011,4,14,19,NA
2011_4_14_20,2011,4,14,20,9.472
2011_4_14_21,2011,4,14,21,NA
2011_4_14_22,2011,4,14,22,8.779
2011_4_14_23,2011,4,14,23,NA
2011_4_15_0,2011,4,15,0,8.182
2011_4_15_1,2011,4,15,1,NA
2011_4_15_2,2011,4,15,2,7.481
2011_4_15_3,2011,4,15,3,NA
2011_4_15_4,2011,4,15,4,6.775
2011_4_15_5,2011,4,15,5,NA
2011_4_15_6,2011,4,15,6,6.268
2011_4_15_7,2011,4,15,7,NA
2011_4_15_8,2011,4,15,8,6.471
2011_4_15_9,2011,4,15,9,NA
2011_4_15_10,2011,4,15,10,7.983
2011_4_15_11,2011,4,15,11,NA
2011_4_15_12,2011,4,15,12,8.779
2011_4_15_13,2011,4,15,13,NA
2011_4_15_14,2011,4,15,14,9.077
2011_4_15_15,2011,4,15,15,NA
2011_4_15_16,2011,4,15,16,9.571
2011_4_15_17,2011,4,15,17,NA
2011_4_15_18,2011,4,15,18,9.373
2011_4_15_19,2011,4,15,19,NA
2011_4_15_20,2011,4,15,20,8.879
2011_4_15_21,2011,4,15,21,NA
2011_4_15_22,2011,4,15,22,8.481
2011_4_15_23,2011,4,15,23,NA
2011_4_16_0,2011,4,16,0,8.182
2011_4_16_1,2011,4,16,1,NA
2011_4_16_2,2011,4,16,2,7.882
2011_4_16_3,2011,4,16,3,NA
2011_4_16_4,2011,4,16,4,7.381
2011_4_16_5,2011,4,16,5,NA
2011_4_16_6,2011,4,16,6,7.28
2011_4_16_7,2011,4,16,7,NA
2011_4_16_8,2011,4,16,8,7.582
2011_4_16_9,2011,4,16,9,NA
2011_4_16_10,2011,4,16,10,8.481
2011_4_16_11,2011,4,16,11,NA
2011_4_16_12,2011,4,16,12,9.669
2011_4_16_13,2011,4,16,13,NA
2011_4_16_14,2011,4,16,14,10.063
2011_4_16_15,2011,4,16,15,NA
2011_4_16_16,2011,4,16,16,10.063
2011_4_16_17,2011,4,16,17,NA
2011_4_16_18,2011,4,16,18,9.965
2011_4_16_19,2011,4,16,19,NA
2011_4_16_20,2011,4,16,20,9.571
2011_4_16_21,2011,4,16,21,NA
2011_4_16_22,2011,4,16,22,9.176
2011_4_16_23,2011,4,16,23,NA
2011_4_17_0,2011,4,17,0,8.879
2011_4_17_1,2011,4,17,1,NA
2011_4_17_2,2011,4,17,2,8.581
2011_4_17_3,2011,4,17,3,NA
2011_4_17_4,2011,4,17,4,8.382
2011_4_17_5,2011,4,17,5,NA
2011_4_17_6,2011,4,17,6,8.282
2011_4_17_7,2011,4,17,7,NA
2011_4_17_8,2011,4,17,8,8.382
2011_4_17_9,2011,4,17,9,NA
2011_4_17_10,2011,4,17,10,9.077
2011_4_17_11,2011,4,17,11,NA
2011_4_17_12,2011,4,17,12,10.063
2011_4_17_13,2011,4,17,13,NA
2011_4_17_14,2011,4,17,14,10.748
2011_4_17_15,2011,4,17,15,NA
2011_4_17_16,2011,4,17,16,11.236
2011_4_17_17,2011,4,17,17,NA
2011_4_17_18,2011,4,17,18,11.139
2011_4_17_19,2011,4,17,19,NA
2011_4_17_20,2011,4,17,20,10.161
2011_4_17_21,2011,4,17,21,NA
2011_4_17_22,2011,4,17,22,9.077
2011_4_17_23,2011,4,17,23,NA
2011_4_18_0,2011,4,18,0,8.182
2011_4_18_1,2011,4,18,1,NA
2011_4_18_2,2011,4,18,2,7.582
2011_4_18_3,2011,4,18,3,NA
2011_4_18_4,2011,4,18,4,7.079
2011_4_18_5,2011,4,18,5,NA
2011_4_18_6,2011,4,18,6,6.674
2011_4_18_7,2011,4,18,7,NA
2011_4_18_8,2011,4,18,8,7.079
2011_4_18_9,2011,4,18,9,NA
2011_4_18_10,2011,4,18,10,8.978
2011_4_18_11,2011,4,18,11,NA
2011_4_18_12,2011,4,18,12,11.431
2011_4_18_13,2011,4,18,13,NA
2011_4_18_14,2011,4,18,14,13.269
2011_4_18_15,2011,4,18,15,NA
2011_4_18_16,2011,4,18,16,13.461
2011_4_18_17,2011,4,18,17,NA
2011_4_18_18,2011,4,18,18,12.883
2011_4_18_19,2011,4,18,19,NA
2011_4_18_20,2011,4,18,20,11.431
2011_4_18_21,2011,4,18,21,NA
2011_4_18_22,2011,4,18,22,10.259
2011_4_18_23,2011,4,18,23,NA
2011_4_19_0,2011,4,19,0,9.275
2011_4_19_1,2011,4,19,1,NA
2011_4_19_2,2011,4,19,2,8.581
2011_4_19_3,2011,4,19,3,NA
2011_4_19_4,2011,4,19,4,7.983
2011_4_19_5,2011,4,19,5,NA
2011_4_19_6,2011,4,19,6,7.481
2011_4_19_7,2011,4,19,7,NA
2011_4_19_8,2011,4,19,8,7.882
2011_4_19_9,2011,4,19,9,NA
2011_4_19_10,2011,4,19,10,9.669
2011_4_19_11,2011,4,19,11,NA
2011_4_19_12,2011,4,19,12,12.207
2011_4_19_13,2011,4,19,13,NA
2011_4_19_14,2011,4,19,14,14.134
2011_4_19_15,2011,4,19,15,NA
2011_4_19_16,2011,4,19,16,14.517
2011_4_19_17,2011,4,19,17,NA
2011_4_19_18,2011,4,19,18,13.846
2011_4_19_19,2011,4,19,19,NA
